Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
French Bean(Local),2021-01-13,Kg,50,60,55,10,5,13
French Bean(Hybrid),2021-01-13,Kg,60,70,65,10,5,13
Sword Bean,2021-01-13,Kg,30,40,35,10,5,13
Bitter Gourd,2021-01-13,Kg,100,110,105,10,5,13
Bottle Gourd,2021-01-13,Kg,40,50,45,10,5,13
Pumpkin,2021-01-13,Kg,25,30,27,5,2,13
Squash(Long),2021-01-13,Kg,20,25,22,5,2,13
Squash(Round),2021-01-13,Kg,30,40,35,10,5,13
Turnip,2021-01-13,Kg,70,80,75,10,5,13
Okara,2021-01-13,Kg,80,90,85,10,5,13
Sweet Potato,2021-01-13,Kg,50,60,55,10,5,13
Barela,2021-01-13,Kg,40,50,45,10,5,13
Arum,2021-01-13,Kg,50,60,55,10,5,13
Christophine,2021-01-13,Kg,20,25,22,5,2,13
Brd Leaf Mustard,2021-01-13,Kg,40,50,45,10,5,13
Spinach Leaf,2021-01-13,Kg,50,60,55,10,5,13
Cress Leaf,2021-01-13,Kg,80,90,85,10,5,13
Mustard Leaf,2021-01-13,Kg,50,60,55,10,5,13
Fenugreek Leaf,2021-01-13,Kg,60,70,65,10,5,13
Onion Green,2021-01-13,Kg,40,50,45,10,5,13
Bakula,2021-01-13,Kg,90,100,95,10,5,13
Yam,2021-01-13,Kg,70,80,75,10,5,13
Mushroom(Kanya),2021-01-13,Kg,100,120,110,20,10,13
Mushroom(Button),2021-01-13,KG,280,300,290,20,10,13
Brocauli,2021-01-13,Kg,25,35,30,10,5,13
Sugarbeet,2021-01-13,Kg,60,70,65,10,5,13
Drumstick,2021-01-13,Kg,110,120,115,10,5,13
Red Cabbbage,2021-01-13,Kg,150,200,175,50,25,13
Lettuce,2021-01-13,Kg,50,60,55,10,5,13
Knolkhol,2021-01-13,Kg,50,60,55,10,5,13
Celery,2021-01-13,Kg,220,250,235,30,15,13
Parseley,2021-01-13,Kg,380,400,390,20,10,13
Fennel Leaf,2021-01-13,Kg,70,80,75,10,5,13
Mint,2021-01-13,Kg,220,250,235,30,15,13
Turnip A,2021-01-13,Kg,70,80,75,10,5,13
Tamarind,2021-01-13,Kg,140,150,145,10,5,13
Bamboo Shoot,2021-01-13,Kg,80,90,85,10,5,13
Tofu,2021-01-13,Kg,70,80,75,10,5,13
Gundruk,2021-01-13,Kg,220,250,235,30,15,13
Apple(Jholey),2021-01-13,Kg,180,200,190,20,10,13
Apple(Fuji),2021-01-13,KG,280,300,290,20,10,13
Banana,2021-01-13,Doz,100,110,105,10,5,13
Lime,2021-01-13,Kg,110,120,115,10,5,13
Pomegranate,2021-01-13,Kg,250,300,275,50,25,13
Grapes(Green),2021-01-13,Kg,200,220,210,20,10,13
Grapes(Black),2021-01-13,Kg,300,350,325,50,25,13
Orange(Nepali),2021-01-13,Kg,100,110,105,10,5,13
Orange(Indian),2021-01-13,Kg,70,80,75,10,5,13
Water Melon(Green),2021-01-13,Kg,50,60,55,10,5,13
Sweet Orange,2021-01-13,Kg,150,160,155,10,5,13
Pineapple,2021-01-13,1 Pc,120,130,125,10,5,13
Cucumber(Local),2021-01-13,Kg,60,70,65,10,5,13
Cucumber(Hybrid),2021-01-13,KG,30,40,35,10,5,13
Pear(Chinese),2021-01-13,Kg,250,260,255,10,5,13
Papaya(Indian),2021-01-13,Kg,80,90,85,10,5,13
Guava,2021-01-13,Kg,120,150,135,30,15,13
Mombin,2021-01-13,Kg,30,40,35,10,5,13
Kinnow,2021-01-13,Kg,70,80,75,10,5,13
Strawberry,2021-01-13,Kg,500,600,550,100,50,13
Kiwi,2021-01-13,Kg,220,250,235,30,15,13
Ginger,2021-01-13,Kg,50,60,55,10,5,13
Chilli Dry,2021-01-13,Kg,320,330,325,10,5,13
Chilli Green,2021-01-13,Kg,80,90,85,10,5,13
Chilli Green(Bullet),2021-01-13,KG,70,80,75,10,5,13
Chilli Green(Machhe),2021-01-13,KG,70,80,75,10,5,13
Chilli Green(Akbare),2021-01-13,KG,700,800,750,100,50,13
Capsicum,2021-01-13,Kg,60,70,65,10,5,13
